"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
005,,005,,,005,,,,,,,,,,,,,,,,,,
animaljr,,animaljrs,,,"Animalandia Jr.",,,(Spanish),,,,,,,,,,,,,,,
animaljr,,animaljrj,,,"Waiwai Animal Land Jr.",,,(Japan),,,,,,,,,,,,,,,
animaljr,,animaljr,,,"Exciting Animal Land Jr.",,,(USA),,,,,,,,,,,,,,,
animpkr,,animpkr,,,"unknown animal-themed game",,,(bottom),,,,,,,,,,,,,,,
anithunt,,anithuntd1,,,"Animal Treasure Hunt",,,"(Version 1.9R, set 2)",,,,,,,,,,,,,,,
anithunt,,anithunt,,,"Animal Treasure Hunt",,,"(Version 1.9R, set 1)",,,,,,,,,,,,,,,
anithunt,,anithunto,,,"Animal Treasure Hunt",,,"(Version 1.7)",,,,,,,,,,,,,,,
anithunt,,anithuntv1,,,"Animal Treasure Hunt",,,"(Version 1.9R Dual)",,,,,,,,,,,,,,,
anithunt,,anithunto2,,,"Animal Treasure Hunt",,,"(Version 1.5)",,,,,,,,,,,,,,,
anteater,,anteatergg,,,Ameisenbaer,,,"(German, Galaxian hardware)",,,,,,,,,,,,,,,
anteater,,anteateruk,,,"The Anteater",,,(UK),,,,,,,,,,,,,,,
anteater,,anteater,,,Anteater,,,,,,,,,,,,,,,,,,
anteater,,anteaterg,,,Ameisenbaer,,,(German),,,,,,,,,,,,,,,
aodk,,aodk,,,"Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku",,,"(ADM-008 ~ ADH-008)",,,,,,,,,,,,,,,
aof,,aof,,,"Art of Fighting / Ryuuko no Ken",,,"(NGM-044 ~ NGH-044)",,,,,,,,,,,,,,,
aof2,,aof2a,,,"Art of Fighting 2 / Ryuuko no Ken 2",,,(NGH-056),,,,,,,,,,,,,,,
aof2,,aof2,,,"Art of Fighting 2 / Ryuuko no Ken 2",,,(NGM-056),,,,,,,,,,,,,,,
aof3,,aof3,,,"Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden",,,,,,,,,,,,,,,,,,
aof3,,aof3k,,,"Art of Fighting 3 - The Path of the Warrior",,,"(Korean release)",,,,,,,,,,,,,,,
aoh,,aoh,,,"Age Of Heroes - Silkroad 2",,,"(v0.63 - 2001/02/07)",,,,,,,,,,,,,,,
apache3,,apache3,,,"Apache 3",,,,,,,,,,,,,,,,,,
apache3,,apache3a,,,"Apache 3",,,"(Kana Corporation license)",,,,,,,,,,,,,,,
apb,,apb5,,,"APB - All Points Bulletin",,,"(rev 5)",,,,,,,,,,,,,,,
apb,,apb1,,,"APB - All Points Bulletin",,,"(rev 1)",,,,,,,,,,,,,,,
apb,,apb2,,,"APB - All Points Bulletin",,,"(rev 2)",,,,,,,,,,,,,,,
apb,,apb,,,"APB - All Points Bulletin",,,"(rev 7)",,,,,,,,,,,,,,,
apb,,apb6,,,"APB - All Points Bulletin",,,"(rev 6)",,,,,,,,,,,,,,,
apb,,apbf,,,"APB - All Points Bulletin",,,(French),,,,,,,,,,,,,,,
apb,,apb4,,,"APB - All Points Bulletin",,,"(rev 4)",,,,,,,,,,,,,,,
apb,,apbg,,,"APB - All Points Bulletin",,,(German),,,,,,,,,,,,,,,
apb,,apb3,,,"APB - All Points Bulletin",,,"(rev 3)",,,,,,,,,,,,,,,
aplatoon,,aplatoon,,,"Platoon V.3.1 US",,,,,,,,,,,,,,,,,,
apparel,,apparel,,,"Apparel Night",,,"(Japan 860929)",,,,,,,,,,,,,,,
apple10,,apple10,,,"Apple 10",,,"(Ver 1.21)",,,,,,,,,,,,,,,
appoooh,,appoooh,,,Appoooh,,,,,,,,,,,,,,,,,,
aquajack,,aquajack,,,"Aqua Jack",,,(World),,,,,,,,,,,,,,,
aquajack,,aquajackj,,,"Aqua Jack",,,(Japan),,,,,,,,,,,,,,,
aquajet,,aquajet,,,"Aqua Jet",,,"(Rev. AJ2 Ver.B)",,,,,,,,,,,,,,,
aquarium,,aquariumj,,,Aquarium,,,(Japan),,,,,,,,,,,,,,,
aquarium,,aquarium,,,Aquarium,,,(US),,,,,,,,,,,,,,,
aquarush,,aquarush,,,"Aqua Rush",,,"(Japan, AQ1/VER.A1)",,,,,,,,,,,,,,,
ar_airh,,ar_airh2,,,"SportTime Table Hockey",,,"(Arcadia, set 2)",,,,,,,,,,,,,,,
ar_bios,,ar_bios,,,"Arcadia System BIOS",,,,,,,,,,,,,,,,,,
ar_bowl,,ar_bowl,,,"SportTime Bowling",,,"(Arcadia, V 2.1)",,,,,,,,,,,,,,,
ar_dart,,ar_dart2,,,"World Darts",,,"(Arcadia, set 2)",,,,,,,,,,,,,,,
ar_dart,,ar_dart,,,"World Darts",,,"(Arcadia, set 1, V 2.1)",,,,,,,,,,,,,,,
ar_fast,,ar_fasta,,,"Magic Johnson's Fast Break",,,"(Arcadia, V 2.7)",,,,,,,,,,,,,,,
ar_fast,,ar_fast,,,"Magic Johnson's Fast Break",,,"(Arcadia, V 2.8)",,,,,,,,,,,,,,,
ar_ldrb,,ar_ldrbb,,,"Leader Board",,,"(Arcadia, set 3)",,,,,,,,,,,,,,,
ar_ldrb,,ar_ldrba,,,"Leader Board",,,"(Arcadia, set 2, V 2.4)",,,,,,,,,,,,,,,
ar_ldrb,,ar_ldrb,,,"Leader Board",,,"(Arcadia, set 1, V 2.5)",,,,,,,,,,,,,,,
ar_ninj,,ar_ninj2,,,"Ninja Mission",,,"(Arcadia, set 2)",,,,,,,,,,,,,,,
ar_ninj,,ar_ninj,,,"Ninja Mission",,,"(Arcadia, set 1, V 2.5)",,,,,,,,,,,,,,,
ar_rdwr,,ar_rdwr,,,RoadWars,,,"(Arcadia, V 2.3)",,,,,,,,,,,,,,,
ar_sdwr,,ar_sdwr,,,Sidewinder,,,"(Arcadia, set 1, V 2.1)",,,,,,,,,,,,,,,
ar_sdwr,,ar_sdwr2,,,Sidewinder,,,"(Arcadia, set 2)",,,,,,,,,,,,,,,
ar_socc,,ar_socc,,,"World Trophy Soccer",,,"(Arcadia, V 3.0)",,,,,,,,,,,,,,,
ar_spot,,ar_spot,,,Spot,,,"(Arcadia, V 2.0)",,,,,,,,,,,,,,,
ar_sprg,,ar_sprg,,,"Space Ranger",,,"(Arcadia, V 2.0)",,,,,,,,,,,,,,,
ar_xeon,,ar_xeon,,,Xenon,,,"(Arcadia, V 2.3)",,,,,,,,,,,,,,,
arabfgt,,arabfgtu,,,"Arabian Fight",,,(US),,,,,,,,,,,,,,,
arabfgt,,arabfgtj,,,"Arabian Fight",,,(Japan),,,,,,,,,,,,,,,
arabfgt,,arabfgt,,,"Arabian Fight",,,(World),,,,,,,,,,,,,,,
arabian,,arabiana,,,Arabian,,,(Atari),,,,,,,,,,,,,,,
arabian,,arabian,,,Arabian,,,,,,,,,,,,,,,,,,
arabianm,,arabianmu,,,"Arabian Magic",,,"(Ver 1.0A 1992/07/06)",,,,,,,,,,,,,,,
arabianm,,arabianmj,,,"Arabian Magic",,,"(Ver 1.0J 1992/07/06)",,,,,,,,,,,,,,,
arabianm,,arabianm,,,"Arabian Magic",,,"(Ver 1.0O 1992/07/06)",,,,,,,,,,,,,,,
arbalest,,arbalest,,,Arbalester,,,,,,,,,,,,,,,,,,
arcadecl,,arcadecl,,,"Arcade Classics",,,(prototype),,,,,,,,,,,,,,,
arcadian,,raphero,,,"Rapid Hero",,,,,,,,,,,,,,,,,,
arcadian,,arcadian,,,Arcadia,,,(NMK),,,,,,,,,,,,,,,
archrivl,,archrivlb,,,"Arch Rivals",,,"(rev 2.0 5/03/89, 8-way Joystick bootleg)",,,,,,,,,,,,,,,
archrivl,,archrivl,,,"Arch Rivals",,,"(rev 4.0 6/29/89)",,,,,,,,,,,,,,,
archrivl,,archrivla,,,"Arch Rivals",,,"(rev 2.0 5/03/89)",,,,,,,,,,,,,,,
arcwins,,arcwins,,,"Arctic Wins",,,"(4XF5227H03, USA)",,,,,,,,,,,,,,,
area51,,area51,,,"Area 51",,,(R3000),,,,,,,,,,,,,,,
area51,,area51ta,,,"Area 51",,,"(Time Warner license, Nov 15, 1995)",,,,,,,,,,,,,,,
area51,,area51a,,,"Area 51",,,"(Atari Games license, Oct 25, 1995)",,,,,,,,,,,,,,,
area51mx,,a51mxr3k,,,"Area 51 / Maximum Force Duo",,,(R3000),,,,,,,,,,,,,,,
area51mx,,area51mx,,,"Area 51 / Maximum Force Duo v2.0",,,,,,,,,,,,,,,,,,
arescue,,arescue,,,"Air Rescue",,,(US),,,,,,,,,,,,,,,
argus,,argus,,,Argus,,,,,,,,,,,,,,,,,,
argusg,,argusg,,,Argus,,,"(Gottlieb, prototype)",,,,,,,,,,,,,,,
aristmk5,,aristmk5,,,"MKV Set/Clear Chips",,,(USA),,,,,,,,,,,,,,,
aristmk6,,aristmk6,,,"Aristocrat MK6 System Software",,,,,,,,,,,,,,,,,,
arkanoid,,arkanoiduo,,,Arkanoid,,,"(US, older)",,,,,,,,,,,,,,,
arkanoid,,ark1ball,,,Arkanoid,,,"(bootleg with MCU, harder)",,,,,,,,,,,,,,,
arkanoid,,arkanoidjbl,,,Arkanoid,,,"(bootleg with MCU, set 1)",,,,,,,,,,,,,,,
arkanoid,,arkanoidjb,,,Arkanoid,,,"(Japan, older)",,,,,,,,,,,,,,,
arkanoid,,arkanoidu,,,Arkanoid,,,"(US, newer)",,,,,,,,,,,,,,,
arkanoid,,arkanoidjbl2,,,Arkanoid,,,"(bootleg with MCU, set 2)",,,,,,,,,,,,,,,
arkanoid,,arkangc2,,,Arkanoid,,,"(Game Corporation bootleg, set 2)",,,,,,,,,,,,,,,
arkanoid,,arkangc,,,Arkanoid,,,"(Game Corporation bootleg, set 1)",,,,,,,,,,,,,,,
arkanoid,,arkanoidja,,,Arkanoid,,,"(Japan, newer w/level select)",,,,,,,,,,,,,,,
arkanoid,,arkanoid,,,Arkanoid,,,"(World, older)",,,,,,,,,,,,,,,
arkanoid,,arkatayt,,,Arkanoid,,,"(Tayto bootleg)",,,,,,,,,,,,,,,
arkanoid,,arkbloc3,,,Block,,,"(Game Corporation bootleg, set 3)",,,,,,,,,,,,,,,
arkanoid,,paddle2,,,"Paddle 2",,,"(bootleg on Block hardware)",,,,,,,,,,,,,,,
arkanoid,,arkblock,,,Block,,,"(Game Corporation bootleg, set 1)",,,,,,,,,,,,,,,
arkanoid,,arkgcbla,,,Arkanoid,,,"(bootleg on Block hardware, set 2)",,,,,,,,,,,,,,,
arkanoid,,arkgcbl,,,Arkanoid,,,"(bootleg on Block hardware, set 1)",,,,,,,,,,,,,,,
arkanoid,,arkbloc2,,,Block,,,"(Game Corporation bootleg, set 2)",,,,,,,,,,,,,,,
arkanoid,,block2,,,"Block 2",,,"(S.P.A. Co. bootleg)",,,,,,,,,,,,,,,
arkanoid,,arktayt2,,,Arkanoid,,,"(Tayto bootleg, harder)",,,,,,,,,,,,,,,
arkarea,,arkarea,,,"Ark Area",,,,,,,,,,,,,,,,,,
arkatour,,arkatour,,,"Tournament Arkanoid",,,(US),,,,,,,,,,,,,,,
arknoid2,,arknoid2j,,,"Arkanoid - Revenge of DOH",,,(Japan),,,,,,,,,,,,,,,
arknoid2,,arknoid2u,,,"Arkanoid - Revenge of DOH",,,(US),,,,,,,,,,,,,,,
arknoid2,,arknoid2,,,"Arkanoid - Revenge of DOH",,,(World),,,,,,,,,,,,,,,
arkretrn,,arkretrn,,,"Arkanoid Returns",,,"(Ver 2.02O 1997/02/10)",,,,,,,,,,,,,,,
arkretrn,,arkretrnj,,,"Arkanoid Returns",,,"(Ver 2.02J 1997/02/10)",,,,,,,,,,,,,,,
arlingtn,,arlingtn,,,"Arlington Horse Racing",,,(v1.21-D),,,,,,,,,,,,,,,
armchmp2,,armchmp2o,,,"Arm Champs II v1.7",,,,,,,,,,,,,,,,,,
armchmp2,,armchmp2,,,"Arm Champs II v2.6",,,,,,,,,,,,,,,,,,
armedf,,armedf,,,"Armed Formation",,,,,,,,,,,,,,,,,,
armedf,,armedff,,,"Armed Formation",,,"(Fillmore license)",,,,,,,,,,,,,,,
armora,,armorar,,,"Armor Attack",,,(Rock-Ola),,,,,,,,,,,,,,,
armora,,armora,,,"Armor Attack",,,,,,,,,,,,,,,,,,
armora,,armorap,,,"Armor Attack",,,(prototype),,,,,,,,,,,,,,,
armorcar,,armorcar2,,,"Armored Car",,,"(set 2)",,,,,,,,,,,,,,,
armorcar,,armorcar,,,"Armored Car",,,"(set 1)",,,,,,,,,,,,,,,
armwar,,armwarr1,,,"Armored Warriors",,,"(Euro 941011)",,,,,,,,,,,,,,,
armwar,,armwaru,,,"Armored Warriors",,,"(USA 941024)",,,,,,,,,,,,,,,
armwar,,armwaru1,,,"Armored Warriors",,,"(USA 940920)",,,,,,,,,,,,,,,
armwar,,armwarar1,,,"Armored Warriors",,,"(Asia 940920)",,,,,,,,,,,,,,,
armwar,,armwar,,,"Armored Warriors",,,"(Euro 941024)",,,,,,,,,,,,,,,
armwar,,armwar1d,,,"Armored Warriors",,,"(Euro 941011 Phoenix Edition) (bootleg)",,,,,,,,,,,,,,,
armwar,,armwara,,,"Armored Warriors",,,"(Asia 941024)",,,,,,,,,,,,,,,
armwar,,pgear,,,"Powered Gear: Strategic Variant Armor Equipment",,,"(Japan 941024)",,,,,,,,,,,,,,,
armwar,,pgearr1,,,"Powered Gear: Strategic Variant Armor Equipment",,,"(Japan 940916)",,,,,,,,,,,,,,,
armwrest,,armwrest,,,"Arm Wrestling",,,,,,,,,,,,,,,,,,
ashura,,ashura,,,"Ashura Blaster",,,(World),,,,,,,,,,,,,,,
ashura,,ashuraj,,,"Ashura Blaster",,,(Japan),,,,,,,,,,,,,,,
ashura,,ashurau,,,"Ashura Blaster",,,(US),,,,,,,,,,,,,,,
aso,,arian,,,"Arian Mission",,,,,,,,,,,,,,,,,,
aso,,alphamis,,,"Alpha Mission",,,,,,,,,,,,,,,,,,
aso,,aso,,,"ASO - Armored Scrum Object",,,,,,,,,,,,,,,,,,
assault,,assaultj,,,Assault,,,(Japan),,,,,,,,,,,,,,,
assault,,assault,,,Assault,,,"(Rev B)",,,,,,,,,,,,,,,
assault,,assaultp,,,"Assault Plus",,,(Japan),,,,,,,,,,,,,,,
astdelux,,astdelux1,,,"Asteroids Deluxe",,,"(rev 1)",,,,,,,,,,,,,,,
astdelux,,astdelux,,,"Asteroids Deluxe",,,"(rev 3)",,,,,,,,,,,,,,,
astdelux,,astdelux2,,,"Asteroids Deluxe",,,"(rev 2)",,,,,,,,,,,,,,,
asterix,,asterix,,,Asterix,,,"(ver EAD)",,,,,,,,,,,,,,,
asterix,,asterixeaa,,,Asterix,,,"(ver EAA)",,,,,,,,,,,,,,,
asterix,,asterixj,,,Asterix,,,"(ver JAD)",,,,,,,,,,,,,,,
asterix,,asterixeac,,,Asterix,,,"(ver EAC)",,,,,,,,,,,,,,,
asteroid,,asteroid2,,,Asteroids,,,"(rev 2)",,,,,,,,,,,,,,,
asteroid,,asteroid1,,,Asteroids,,,"(rev 1)",,,,,,,,,,,,,,,
asteroid,,asterock,,,Asterock,,,"(Sidam bootleg of Asteroids)",,,,,,,,,,,,,,,
asteroid,,asteroidb,,,Asteroids,,,"(bootleg on Lunar Lander hardware)",,,,,,,,,,,,,,,
asteroid,,asteroid,,,Asteroids,,,"(rev 4)",,,,,,,,,,,,,,,
asteroid,,asterockv,,,Asterock,,,"(Videotron bootleg of Asteroids)",,,,,,,,,,,,,,,
asteroid,,aerolitos,,,Aerolitos,,,"(Spanish bootleg of Asteroids)",,,,,,,,,,,,,,,
asteroid,,hyperspc,,,Hyperspace,,,"(bootleg of Asteroids)",,,,,,,,,,,,,,,
asteroid,,meteorho,,,Meteor,,,"(bootleg of Asteroids)",,,,,,,,,,,,,,,
asteroid,,meteorts,,,Meteorites,,,"(bootleg of Asteroids)",,,,,,,,,,,,,,,
astorm,,astormb2,,,"Alien Storm",,,"(bootleg, set 2)",,,,,,,,,,,,,,,
astorm,,astormbl,,,"Alien Storm",,,"(bootleg, set 1)",,,,,,,,,,,,,,,
astorm,,astormj,,,"Alien Storm",,,"(Japan, 2 Players) (FD1094 317-0146)",,,,,,,,,,,,,,,
astorm,,astorm3,,,"Alien Storm",,,"(World, 3 Players) (FD1094 317-0148)",,,,,,,,,,,,,,,
astorm,,astorm,,,"Alien Storm",,,"(World, 2 Players) (FD1094 317-0154)",,,,,,,,,,,,,,,
astorm,,astorm3d,,,"Alien Storm",,,"(World, 3 Players) (bootleg of FD1094 317-0148 set)",,,,,,,,,,,,,,,
astorm,,astormud,,,"Alien Storm",,,"(US, 3 Players) (bootleg of FD1094 317-0147 set)",,,,,,,,,,,,,,,
astorm,,astormu,,,"Alien Storm",,,"(US, 3 Players) (FD1094 317-0147)",,,,,,,,,,,,,,,
astrass,,astrass,,,"Astra SuperStars",,,"(J 980514 V1.002)",,,,,,,,,,,,,,,
astrob,,astrob,,,"Astro Blaster",,,"(version 3)",,,,,,,,,,,,,,,
astrob,,astrob1,,,"Astro Blaster",,,"(version 1)",,,,,,,,,,,,,,,
astrob,,astrob2,,,"Astro Blaster",,,"(version 2)",,,,,,,,,,,,,,,
astrob,,astrob2a,,,"Astro Blaster",,,"(version 2a)",,,,,,,,,,,,,,,
astrob,,astrobg,,,"Astro Blaster",,,(German),,,,,,,,,,,,,,,
astrof,,afire,,,"Astro Fire",,,,,,,,,,,,,,,,,,
astrof,,abattle,,,"Astro Battle",,,"(set 1)",,,,,,,,,,,,,,,
astrof,,astrof3,,,"Astro Fighter",,,"(set 3)",,,,,,,,,,,,,,,
astrof,,astrof,,,"Astro Fighter",,,"(set 1)",,,,,,,,,,,,,,,
astrof,,astrof2,,,"Astro Fighter",,,"(set 2)",,,,,,,,,,,,,,,
astrof,,acombat,,,"Astro Combat",,,"(newer, CB)",,,,,,,,,,,,,,,
astrof,,abattle2,,,"Astro Battle",,,"(set 2)",,,,,,,,,,,,,,,
astrof,,acombat3,,,"Astro Combat",,,(unencrypted),,,,,,,,,,,,,,,
astrof,,sstarbtl,,,"Super Star Battle",,,,,,,,,,,,,,,,,,
astrof,,acombato,,,"Astro Combat",,,"(older, PZ)",,,,,,,,,,,,,,,
astron,,astronp,,,"Astron Belt",,,"(Pioneer LDV1000)",,,,,,,,,,,,,,,
astron,,astron,,,"Astron Belt",,,,,,,,,,,,,,,,,,
astron,,cobraseg,,,"Cobra Command",,,"(Sega LaserDisc Hardware)",,,,,,,,,,,,,,,
astropal,,astropal,,,Astropal,,,,,,,,,,,,,,,,,,
astrowar,,astrowar,,,"Astro Wars",,,,,,,,,,,,,,,,,,
astyanax,,astyanax,,,"The Astyanax",,,,,,,,,,,,,,,,,,
astyanax,,lordofk,,,"The Lord of King",,,(Japan),,,,,,,,,,,,,,,
asuka,,asukaj,,,"Asuka & Asuka",,,(Japan),,,,,,,,,,,,,,,
asuka,,asuka,,,"Asuka & Asuka",,,(World),,,,,,,,,,,,,,,
asurabld,,asurabld,,,"Asura Blade - Sword of Dynasty",,,(Japan),,,,,,,,,,,,,,,
asurabus,,asurabus,,,"Asura Buster - Eternal Warriors",,,(Japan),,,,,,,,,,,,,,,
asylum,,asylum,,,Asylum,,,(prototype),,,,,,,,,,,,,,,
atarifb,,atarifb,,,"Atari Football",,,"(revision 2)",,,,,,,,,,,,,,,
atarifb,,atarifb4,,,"Atari Football",,,"(4 players)",,,,,,,,,,,,,,,
atarifb,,atarifb1,,,"Atari Football",,,"(revision 1)",,,,,,,,,,,,,,,
atarisy1,,atarisy1,,,"Atari System 1 BIOS",,,,,,,,,,,,,,,,,,
ataxx,,ataxxa,,,Ataxx,,,"(set 2)",,,,,,,,,,,,,,,
ataxx,,ataxx,,,Ataxx,,,"(set 1)",,,,,,,,,,,,,,,
ataxx,,ataxxj,,,Ataxx,,,(Japan),,,,,,,,,,,,,,,
ataxx,,ataxxe,,,Ataxx,,,(Europe),,,,,,,,,,,,,,,
atehate,,atehate,,,"Athena no Hatena ?",,,,,,,,,,,,,,,,,,
atetris,,atetrisc2,,,Tetris,,,"(cocktail set 2)",,,,,,,,,,,,,,,
atetris,,atetrisa,,,Tetris,,,"(set 2)",,,,,,,,,,,,,,,
atetris,,atetrisb2,,,Tetris,,,"(bootleg set 2)",,,,,,,,,,,,,,,
atetris,,atetrisc,,,Tetris,,,"(cocktail set 1)",,,,,,,,,,,,,,,
atetris,,atetrisb3,,,Tetris,,,"(bootleg set 3)",,,,,,,,,,,,,,,
atetris,,atetrisb,,,Tetris,,,"(bootleg set 1)",,,,,,,,,,,,,,,
atetris,,atetris,,,Tetris,,,"(set 1)",,,,,,,,,,,,,,,
athena,,athena,,,Athena,,,,,,,,,,,,,,,,,,
atlantis,,atlantis,,,"Battle of Atlantis",,,"(set 1)",,,,,,,,,,,,,,,
atlantis,,atlantis2,,,"Battle of Atlantis",,,"(set 2)",,,,,,,,,,,,,,,
atlantis,,atlantisb,,,"Battle of Atlantis",,,(bootleg),,,,,,,,,,,,,,,
atomicp,,atomicp,,,"Atomic Point",,,(Korea),,,,,,,,,,,,,,,
attckufo,,attckufo,,,"Attack UFO",,,,,,,,,,,,,,,,,,
atworld,,atworldd1,,,"Around The World",,,"(Version 1.3R CGA)",,,,,,,,,,,,,,,
atworld,,atworld,,,"Around The World",,,"(Version 1.4R CGA)",,,,,,,,,,,,,,,
atworld,,atworlde1,,,"Around The World",,,"(Version 1.3E CGA)",,,,,,,,,,,,,,,
aurail,,aurailj,,,Aurail,,,"(set 1, Japan) (FD1089A 317-0167)",,,,,,,,,,,,,,,
aurail,,aurail1,,,Aurail,,,"(set 2, World) (FD1089B 317-0168)",,,,,,,,,,,,,,,
aurail,,aurail,,,Aurail,,,"(set 3, US) (unprotected)",,,,,,,,,,,,,,,
autmoon,,autmoon,,,"Autumn Moon",,,"(1VXFC5488, New Zealand)",,,,,,,,,,,,,,,
av2mj1bb,,av2mj1bb,,,"AV2Mahjong No.1 Bay Bridge no Seijo",,,(Japan),,,,,,,,,,,,,,,
av2mj2rg,,av2mj2rg,,,"AV2Mahjong No.2 Rouge no Kaori",,,(Japan),,,,,,,,,,,,,,,
avalnc13,,avalnc13,,,"The Key Of Avalon 1.3 - Chaotic Sabbat",,,"(client) (Rev C) (GDT-0010C)",,,,,,,,,,,,,,,
avalnche,,avalnche,,,Avalanche,,,,,,,,,,,,,,,,,,
avalnche,,cascade,,,Cascade,,,,,,,,,,,,,,,,,,
avalns13,,avalns13,,,"The Key Of Avalon 1.3 - Chaotic Sabbat",,,"(server) (Rev C) (GDT-0009C)",,,,,,,,,,,,,,,
avalon20,,avalon20,,,"The Key Of Avalon 2.0 - Eutaxy and Commandment",,,"(client) (Rev B) (GDT-0017B)",,,,,,,,,,,,,,,
avalonc,,avalonc,,,"The Key Of Avalon - The Wizard Master",,,"(client) (Rev G) (GDT-0006G)",,,,,,,,,,,,,,,
avalons,,avalons,,,"The Key Of Avalon - The Wizard Master",,,"(server) (Rev G) (GDT-0005G)",,,,,,,,,,,,,,,
avengers,,avengers2,,,Avengers,,,"(US set 2)",,,,,,,,,,,,,,,
avengers,,avengers,,,Avengers,,,"(US set 1)",,,,,,,,,,,,,,,
avengers,,buraiken,,,"Hissatsu Buraiken",,,(Japan),,,,,,,,,,,,,,,
avengers,,buraikenb,,,"Hissatsu Buraiken",,,"(Japan, bootleg?)",,,,,,,,,,,,,,,
avengrgs,,avengrgsj,,,"Avengers In Galactic Storm",,,(Japan),,,,,,,,,,,,,,,
avengrgs,,avengrgs,,,"Avengers In Galactic Storm",,,(US),,,,,,,,,,,,,,,
avsp,,avsp,,,"Alien vs. Predator",,,"(Euro 940520)",,,,,,,,,,,,,,,
avsp,,avspj,,,"Alien vs. Predator",,,"(Japan 940520)",,,,,,,,,,,,,,,
avsp,,avsph,,,"Alien vs. Predator",,,"(Hispanic 940520)",,,,,,,,,,,,,,,
avsp,,avspd,,,"Alien vs. Predator",,,"(Euro 940520 Phoenix Edition) (bootleg)",,,,,,,,,,,,,,,
avsp,,avspa,,,"Alien vs. Predator",,,"(Asia 940520)",,,,,,,,,,,,,,,
avsp,,avspu,,,"Alien vs. Predator",,,"(USA 940520)",,,,,,,,,,,,,,,
avspirit,,avspirit,,,"Avenging Spirit",,,,,,,,,,,,,,,,,,
avspirit,,monkelf,,,"Monky Elf",,,"(Korean bootleg of Avenging Spirit)",,,,,,,,,,,,,,,
avspirit,,phantasm,,,Phantasm,,,(Japan),,,,,,,,,,,,,,,
awbios,,awbios,,,"Atomiswave Bios",,,,,,,,,,,,,,,,,,
aztarac,,aztarac,,,Aztarac,,,,,,,,,,,,,,,,,,
azurian,,azurian,,,"Azurian Attack",,,,,,,,,,,,,,,,,,
b85scard,,b85scard,,,Supercards,,,"(Dutch, Game Card 39-340-271?) (System 85)",,,,,,,,,,,,,,,
backfire,,backfirea,,,Backfire!,,,"(set 2)",,,,,,,,,,,,,,,
backfire,,backfire,,,Backfire!,,,"(set 1)",,,,,,,,,,,,,,,
backfirt,,backfirt,,,"Back Fire",,,"(Tecmo, bootleg)",,,,,,,,,,,,,,,
backgamn,,backgamn,,,Backgammon,,,,,,,,,,,,,,,,,,
baddudes,,baddudes,,,"Bad Dudes vs. Dragonninja",,,(US),,,,,,,,,,,,,,,
baddudes,,drgninjab,,,Dragonninja,,,(bootleg),,,,,,,,,,,,,,,
baddudes,,drgninjab2,,,Dragonninja,,,"(bootleg with 68705)",,,,,,,,,,,,,,,
baddudes,,drgninja,,,Dragonninja,,,(Japan),,,,,,,,,,,,,,,
badlands,,badlandsb2,,,"Bad Lands",,,"(bootleg, alternate)",,,,,,,,,,,,,,,
badlands,,badlandsb,,,"Bad Lands",,,(bootleg),,,,,,,,,,,,,,,
badlands,,badlands,,,"Bad Lands",,,,,,,,,,,,,,,,,,
bagman,,bagmanm2,,,Bagman,,,"(bootleg on Moon Cresta hardware, set 2)",,,,,,,,,,,,,,,
bagman,,bagmanmc,,,Bagman,,,"(bootleg on Moon Cresta hardware, set 1)",,,,,,,,,,,,,,,
bagman,,bagman,,,Bagman,,,,,,,,,,,,,,,,,,
bagman,,bagmanf,,,"Le Bagnard",,,"(bootleg on Crazy Kong hardware)",,,,,,,,,,,,,,,
bagman,,bagmans,,,Bagman,,,"(Stern Electronics, set 1)",,,,,,,,,,,,,,,
bagman,,bagnarda,,,"Le Bagnard",,,"(set 2)",,,,,,,,,,,,,,,
bagman,,bagnardi,,,"Le Bagnard",,,"(Itisa, Spain)",,,,,,,,,,,,,,,
bagman,,bagmans2,,,Bagman,,,"(Stern Electronics, set 2)",,,,,,,,,,,,,,,
bagman,,bagnard,,,"Le Bagnard",,,"(set 1)",,,,,,,,,,,,,,,
bakatono,,bakatono,,,"Bakatonosama Mahjong Manyuuki",,,"(MOM-002 ~ MOH-002)",,,,,,,,,,,,,,,
bakubaku,,bakubaku,,,"Baku Baku Animal",,,"(J 950407 V1.000)",,,,,,,,,,,,,,,
bakutotu,,bakutotu,,,"Bakutotsu Kijuutei",,,,,,,,,,,,,,,,,,
balcube,,balcube,,,"Bal Cube",,,,,,,,,,,,,,,,,,
ballbomb,,ballbomb,,,"Balloon Bomber",,,,,,,,,,,,,,,,,,
ballbros,,ballbros,,,"Balloon Brothers",,,,,,,,,,,,,,,,,,
balonfgt,,balonfgt,,,"Vs. Balloon Fight",,,"(set BF4 A-3)",,,,,,,,,,,,,,,
baluba,,baluba,,,"Baluba-louk no Densetsu",,,(Japan),,,,,,,,,,,,,,,
bam2,,bam2,,,"Bust a Move 2 - Dance Tengoku Mix",,,"(Japanese ROM ver. 1999/07/17 10:00:00)",,,,,,,,,,,,,,,
